;Name;Latitude;Longitude;Population;Timezone;same_name
0;Tenafly;40.92538;-73.96292;14880;East Coast;City without UK name
1;Vienna;40.86871;-74.88906;981;East Coast;City without UK name
2;Asharoken;40.92788;-73.35984;654;East Coast;City without UK name
3;Bohemia;40.76926;-73.11511;10180;East Coast;City without UK name
4;Carmel;41.43009;-73.68013;4800;East Coast;City without UK name
5;Chester;41.36259;-74.27126;3918;East Coast;City with UK name
6;Clinton Corners;41.83009;-73.76235;3168;East Coast;City without UK name
7;Crystal Beach;42.81368;-77.26359;644;East Coast;City without UK name
8;Durhamville;43.12062;-75.67102;584;East Coast;City without UK name
9;East Patchogue;40.76704;-72.99622;22469;East Coast;City without UK name
10;East Setauket;40.94149;-73.10594;17006;East Coast;City without UK name
11;Elwood;40.84538;-73.33512;11177;East Coast;City without UK name
12;Florida;41.33176;-74.35682;2899;East Coast;City without UK name
13;Geneva;42.86896;-76.97774;13062;East Coast;City without UK name
14;Glasco;42.0437;-73.94736;2099;East Coast;City without UK name
15;Glens Falls;43.30952;-73.64401;14291;East Coast;City without UK name
16;Harbor Hills;40.79093;-73.74652;575;East Coast;City without UK name
17;Harrisville;42.68007;-75.46295;605;East Coast;City without UK name
18;Hicksville;40.76843;-73.52513;41547;East Coast;City without UK name
19;Lake Luzerne;43.31285;-73.83484;1227;East Coast;City without UK name
20;Lynbrook;40.65483;-73.6718;19558;East Coast;City without UK name
21;Mineola;40.74927;-73.64068;19139;East Coast;City without UK name
22;North Gates;43.17645;-77.70139;9512;East Coast;City without UK name
23;Northumberland;43.1273;-73.58817;5159;East Coast;City without UK name
24;Northville;43.22563;-74.17208;1065;East Coast;City without UK name
25;Oneonta;42.45286;-75.06377;13862;East Coast;City without UK name
26;Orange Lake;41.53982;-74.0982;6982;East Coast;City without UK name
27;Philadelphia;44.1545;-75.70882;1223;East Coast;City without UK name
28;Sleepy Hollow;41.08565;-73.85847;10242;East Coast;City without UK name
29;South Hempstead;40.68094;-73.61541;3243;East Coast;City without UK name
30;South Lockport;43.15006;-78.6967;8324;East Coast;City without UK name
31;South Valley Stream;40.65594;-73.71763;5962;East Coast;City without UK name
32;Stannards;42.08646;-77.92222;798;East Coast;City without UK name
33;Thomaston;40.78621;-73.71374;2639;East Coast;City without UK name
34;Utica;43.1009;-75.23266;61100;East Coast;City without UK name
35;Wellsville;42.12201;-77.94806;4533;East Coast;City without UK name
36;West Babylon;40.71816;-73.35429;43213;East Coast;City without UK name
37;Avon;41.45171;-82.03542;22544;East Coast;City without UK name
38;Avon Center;41.45976;-82.01959;15724;East Coast;City without UK name
39;Beachwood;41.4645;-81.50873;11762;East Coast;City without UK name
40;Bellaire;40.01618;-80.74231;4189;East Coast;City without UK name
41;Coldwater;40.47977;-84.62829;4487;East Coast;City without UK name
42;Coshocton;40.27202;-81.85958;11121;East Coast;City without UK name
43;Fairview Park;41.44144;-81.8643;16407;East Coast;City without UK name
